===========================================================================
  SUMMARY STATISTICS
===========================================================================
       Variable     N    Mean     SD  Minimum  Median  Maximum
        CAR_0_1 23063 -0.1114 8.8970 -27.4476 -0.0375  25.9728
  earn_surprise  3886 -0.0004 0.0117  -0.0735  0.0004   0.0426
e_talk_combined 23121  0.0010 0.0011   0.0000  0.0008   0.0669
s_talk_combined 23121  0.0011 0.0008   0.0000  0.0009   0.0143
g_talk_combined 23121  0.0013 0.0014   0.0000  0.0010   0.0390
    e_talk_pres 23121  0.0010 0.0013   0.0000  0.0007   0.0783
    s_talk_pres 23121  0.0010 0.0009   0.0000  0.0008   0.0170
    g_talk_pres 23121  0.0013 0.0016   0.0000  0.0010   0.0449
 e_talk_answers 23121  0.0007 0.0009   0.0000  0.0005   0.0353
 s_talk_answers 23121  0.0008 0.0009   0.0000  0.0005   0.0205
 g_talk_answers 23121  0.0009 0.0013   0.0000  0.0006   0.0552
        negfrac 23110  0.0177 0.0069   0.0025  0.0165   0.0704
        litfrac 23110  0.0032 0.0035   0.0000  0.0022   0.0468
        uncfrac 23110  0.0172 0.0053   0.0028  0.0168   0.0506
        logword 23110  7.9126 0.3995   5.1180  7.9662   9.6054
===========================================================================
