permco,permno,gvkey,comnam,filename,date_call,year_call,month_call,day_call,presentation_found,q&a_found,E_call,S_call,G_call,pres_E_call,pres_S_call,pres_G_call,qa_E_call,qa_S_call,qa_G_call
35,11739,001259,ALFACELL CORP,1665733.txt,15oct2007,2007,10,15,1,1,0.1190142035484314,0.24454674124717712,0.20954221487045288,0.11762147396802902,0.26722055673599243,0.26207125186920166,0.09546256065368652,0.17742018401622772,0.11852560192346573
35,11739,001259,ALFACELL CORP,1710463.txt,10dec2007,2007,12,10,1,1,0.14022177457809448,0.2348771095275879,0.16851475834846497,0.0988043025135994,0.21322667598724365,0.21591615676879883,0.13755199313163757,0.21467940509319305,0.1314847469329834
35,11739,001259,ALFACELL CORP,1784915.txt,07mar2008,2008,3,7,1,1,0.12493705749511719,0.22715872526168823,0.15622103214263916,0.09980455785989761,0.2523156404495239,0.20943084359169006,0.12309052795171738,0.1761029064655304,0.1000405102968216
35,11739,001259,ALFACELL CORP,1870207.txt,09jun2008,2008,6,9,1,1,0.12766340374946594,0.236936554312706,0.1691053807735443,0.047100819647312164,0.14094328880310059,0.1335977017879486,0.1414456069469452,0.25031810998916626,0.17045150697231293
65,10779,001117,RELM WIRELESS CORP,1783527.txt,06mar2008,2008,3,6,1,1,0.181317538022995,0.27156370878219604,0.24588769674301147,0.14989353716373444,0.2598344683647156,0.2543853223323822,0.19243302941322327,0.2754603326320648,0.25299203395843506
65,10779,001117,RELM WIRELESS CORP,2119720.txt,10mar2009,2009,3,10,1,1,0.17786365747451782,0.29610538482666016,0.24718444049358368,0.16652926802635193,0.2884555459022522,0.2705211639404297,0.1758977174758911,0.2855832576751709,0.21811316907405853
65,10779,001117,RELM WIRELESS CORP,2364654.txt,11aug2009,2009,8,11,1,1,0.15572303533554077,0.29323360323905945,0.26311033964157104,0.14190012216567993,0.27455735206604004,0.2711237370967865,0.1518785059452057,0.2805239260196686,0.23226577043533325
65,10779,001117,RELM WIRELESS CORP,2534041.txt,12nov2009,2009,11,12,1,1,0.18242096900939941,0.3095095753669739,0.2652537524700165,0.1409657895565033,0.2708934545516968,0.2538206875324249,0.18158027529716492,0.30203163623809814,0.2515241205692291
65,10779,001117,RELM WIRELESS CORP,2773509.txt,05mar2010,2010,3,5,1,1,0.1720232367515564,0.30812472105026245,0.2659876048564911,0.14869071543216705,0.2740212082862854,0.25559231638908386,0.17475759983062744,0.3126451075077057,0.25256380438804626
65,10779,001117,RELM WIRELESS CORP,3278648.txt,12aug2010,2010,8,12,1,1,0.19285094738006592,0.3244660794734955,0.2836143374443054,0.16286997497081757,0.2869293689727783,0.2603068947792053,0.2258540689945221,0.3602152466773987,0.2967672348022461
65,10779,001117,RELM WIRELESS CORP,3497272.txt,11nov2010,2010,11,11,1,1,0.17820623517036438,0.2991822361946106,0.26285427808761597,0.17905622720718384,0.28893131017684937,0.2720754146575928,0.14585426449775696,0.26014000177383423,0.22027133405208588
65,10779,001117,RELM WIRELESS CORP,3785299.txt,03mar2011,2011,3,3,1,1,0.2044663429260254,0.32302191853523254,0.26297909021377563,0.18998222053050995,0.3041139245033264,0.27334973216056824,0.19636718928813934,0.31549519300460815,0.2337803840637207
65,10779,001117,RELM WIRELESS CORP,4171586.txt,10aug2011,2011,8,10,1,1,0.19829639792442322,0.32144826650619507,0.272331178188324,0.1854880154132843,0.32995718717575073,0.2892223298549652,0.21296676993370056,0.3060789108276367,0.24528855085372925
65,10779,001117,RELM WIRELESS CORP,4236580.txt,10nov2011,2011,11,10,1,1,0.21603664755821228,0.37225836515426636,0.30831587314605713,0.17461198568344116,0.3128301501274109,0.2883918583393097,0.20115511119365692,0.3442009687423706,0.26461780071258545
65,10779,001117,RELM WIRELESS CORP,4749173.txt,07mar2012,2012,3,7,1,1,0.20953792333602905,0.32260239124298096,0.2889334559440613,0.19678036868572235,0.3135502338409424,0.2790434956550598,0.18993370234966278,0.30455583333969116,0.2699652314186096
